,Collect_DateTime,No,Code,Name,Rem,Last,Done,LACP,Chg,%,Chg,Vol,('00),Buy,Vol,('00)
930,2019-10-13_21-58-08,930,5167,TURBO,s,-,0.645,-,-,-,50,0.600,0.650,96,-,-
931,2019-10-13_21-58-08,931,4359,TURIYA[S],s,-,0.120,-,-,-,450,0.100,0.120,148,-,-
932,2019-10-13_21-58-08,932,5111,TWRREIT,s,0.850,0.845,0.005,+0.59,120,100,0.845,0.850,230,0.850,0.850
933,2019-10-13_21-58-08,933,7100,UCHITEC[S],s,2.780,2.790,-0.010,-0.36,314,88,2.770,2.780,194,2.790,2.770
934,2019-10-13_21-58-08,934,5148,UEMS[S],s,0.665,0.675,-0.010,-1.48,17726,1194,0.665,0.675,704,0.685,0.665
935,2019-10-13_21-58-08,935,7133,ULICORP[S],s,0.495,0.480,0.015,+3.13,582,3,0.495,0.500,63,0.500,0.490
936,2019-10-13_21-58-08,936,2593,UMCCA[S],s,5.100,5.170,-0.070,-1.35,33,29,5.080,5.150,10,5.100,5.080
937,2019-10-13_21-58-08,937,7137,UMS[S],s,-,1.880,-,-,-,18,1.830,1.880,5,-,-
938,2019-10-13_21-58-08,938,7227,UMSNGB[S],s,-,0.880,-,-,-,30,0.850,0.900,30,-,-
939,2019-10-13_21-58-08,939,4588,UMW[S],s,4.660,4.660,-,-,1667,27,4.650,4.660,61,4.690,4.630
940,2019-10-13_21-58-08,940,7091,UNIMECH[S],s,1.250,1.250,-,-,30,209,1.250,1.260,462,1.250,1.250
941,2019-10-13_21-58-08,941,5005,UNISEM[S],s,2.540,2.480,0.060,+2.42,9615,111,2.540,2.550,50,2.600,2.420
942,2019-10-13_21-58-08,942,5200,UOADEV[S],s,1.970,1.960,0.010,+0.51,1228,9284,1.960,1.970,87,1.970,1.940
943,2019-10-13_21-58-08,943,5110,UOAREIT,s,1.210,1.220,-0.010,-0.82,907,291,1.210,1.220,534,1.220,1.210
944,2019-10-13_21-58-08,944,7757,UPA[S],s,-,2.210,-,-,-,20,2.180,2.230,20,-,-
945,2019-10-13_21-58-08,945,2089,UTDPLT[S],s,25.020,25.040,-0.020,-0.08,32,30,25.000,25.020,18,25.060,25.020
946,2019-10-13_21-58-08,946,5292,UWC[S],s,1.660,1.650,0.010,+0.61,37842,1814,1.650,1.660,222,1.700,1.650
947,2019-10-13_21-58-08,947,7250,UZMA[S],s,0.985,0.970,0.015,+1.55,116588,2717,0.985,0.990,2317,1.000,0.970
